id;competencia;nivel_dominio;codigo_ra;descripcion
1;CL1;ND1;RA1;Aplica conocimientos, métodos y herramientas de las ciencias básicas en situaciones simplificadas de ingeniería, para fortalecer el pensamiento lógico matemático.
2;CL1;ND1;RA2;Resuelve problemas de nivel inicial usando técnica de las ciencias básicas para comprender fenómenos en el ámbito de la ingeniería.
3;CL1;ND2;RA1;Aplica conocimientos, métodos y herramientas de las ciencias de la ingeniería incorporando aspectos sociales, económicos, ambientales o de innovación para resolver problemas de ciencias de la ingeniería.
4;CL1;ND2;RA2;Propone alternativas de solución incorporando aspectos sociales, económicos, ambientales o de innovación para dar respuesta a problemáticas del área disciplinar.
5;CL2;ND1;RA1;Utiliza conocimientos basados en investigaciones o métodos de investigación, para alcanzar conclusiones válidas.
6;CL2;ND2;RA1;Analiza problemas complejos de ingeniería, utilizando métodos o herramientas de investigación para alcanzar conclusiones basadas en las ciencias de la ingeniería.
7;CL2;ND2;RA2;Aplica técnicas, métodos o herramientas de investigación propias de las ciencias de la ingeniería para resolver problemas disciplinares.
8;CE1;ND1; RA1;Maneja herramientas de Matemática, Física y Química, en un nivel básico, para resolver problemas de ciencias e ingeniería.
9;CE1;ND1; RA2;Utiliza lógica y argumentación matemática, en diferentes contextos, para resolver problemas simplificados de ciencias e ingeniería.
10;CE1;ND1; RA3;Reconoce estructuras matemáticas, considerando sus propiedades, para resolver problemas simplificados de ciencias e ingeniería.
11;CE1;ND1; RA4;Identifica técnicas de Matemática Aplicada en un nivel básico, para resolver problemas simplificados de ciencias e ingeniería.
12;CE1;ND2; RA1;Demuestra resultados más avanzados en matemáticas, en diferentes contextos, para resolver problemas delimitados de ingeniería, ciencias y tecnología.
13;CE1;ND2; RA2;Plantea ecuaciones diferenciales (ordinarias o en derivadas parciales) a partir de un problema físico delimitado, para lograr su resolución.
14;CE1;ND2; RA3;Formula problemas de optimización, en contextos generales y en aplicaciones reales, para ayudar a su solución.
15;CE1;ND2; RA4;Aplica conceptos y resultados fundamentales, de análisis avanzado, para resolver problemas delimitados de ingeniería, ciencias y tecnología.
16;CE1;ND2; RA5;Aplica métodos de Matemática Aplicada, básicos y avanzados, para resolver problemas combinatoriales teóricos y aplicados​.
17;CE1;ND2; RA6;Analiza modelos matemáticos y estadísticos, involucrando incertidumbre y datos, para solucionar problemas o explicar fenómenos.
18;CE1;ND2; RA7;Maneja herramientas avanzadas de la Física, en contextos generales y en aplicaciones reales, para solucionar problemasdelimitados de ingeniería, ciencias y tecnología.
19;CE1;ND3; RA1;Fundamenta los modelos y estrategias usados en la resolución del problema, para su comprensión y resolución.
20;CE1;ND3; RA2;Formula modelos y aplica métodos matemáticos, avanzados en la resolución de ecuaciones en derivadas parciales para problemas físicos complejos.
21;CE1;ND3; RA3;Formula modelos y aplica métodos probabilísticos y estadísticos, avanzados e involucrando incertidumbre, para el estudio de fenómenos.
22;CE2;ND1; RA1;Maneja software matemáticos, estadísticos y lenguaje de programación, en un nivel básico, para resolver problemas simplificados de ingeniería.
23;CE2;ND1; RA2;Diseña algoritmos y análisis de costo computacional, aplicando principios básicos, para resolver problemas simplificados de ingeniería.
24;CE2;ND1; RA3;Plantea problemas simplificados de ingeniería, matemáticamente, para facilitar su interpretación y solución.
25;CE2;ND1; RA4;Aplica técnicas matemáticas y computacionales, en un nivel básico, para resolver problemas simplificados de ingeniería.
26;CE2;ND2; RA1;Implementa modelos matemáticos y estadísticos, computacionalmente, involucrando incertidumbre y datos, para simular e investigar problemas y fenómenos.
27;CE2;ND2; RA2;​Usa herramientas ​matemáticas en un nivel avanzado, para diseñar algoritmos y analizar el coste computacional de los mismos.
28;CE2;ND2; RA3;Aplica métodos matemáticos en un nivel avanzado, para la resolución numérica de problemas de álgebra lineal y de análisis.
29;CE2;ND2; RA4;Implementa métodos numéricos, computacionalmente, para simular e investigar soluciones de edp y problemas de optimización.
30;CE2;ND3; RA1;Genera soluciones, en contextos reales y multidisciplinarios, de manera autónoma y colaborativa, a problemas de ingeniería, ciencias y tecnología.
